Position,Velocity
0,-1.219092604
0.008,-1.216590941
0.016,-1.214084124
0.024,-1.21157212
0.032,-1.209054897
0.04,-1.206532422
0.048,-1.204004663
0.056,-1.201471585
0.064,-1.198933156
0.072,-1.19638934
0.08,-1.193840105
0.088,-1.191285414
0.096,-1.188725233
0.104,-1.186159526
0.112,-1.183588257
0.12,-1.181011391
0.128,-1.178428889
0.136,-1.175840716
0.144,-1.173246833
0.152,-1.170647202
0.16,-1.168041786
0.168,-1.165430545
0.176,-1.162813441
0.184,-1.160190433
0.192,-1.157561481
0.2,-1.154926545
0.208,-1.152285583
0.216,-1.149638555
0.224,-1.146985418
0.232,-1.14432613
0.24,-1.141660647
0.248,-1.138988926
0.256,-1.136310924
0.264,-1.133626596
0.272,-1.130935896
0.28,-1.128238779
0.288,-1.125535199
0.296,-1.122825109
0.304,-1.120108463
0.312,-1.117385211
0.32,-1.114655306
0.328,-1.111918699
0.336,-1.10917534
0.344,-1.106425179
0.352,-1.103668165
0.36,-1.100904247
0.368,-1.098133372
0.376,-1.095355488
0.384,-1.092570541
0.392,-1.089778477
0.4,-1.086979241
0.408,-1.084172778
0.416,-1.081359031
0.424,-1.078537944
0.432,-1.075709458
0.44,-1.072873515
0.448,-1.070030056
0.456,-1.067179021
0.464,-1.064320349
0.472,-1.061453978
0.48,-1.058579845
0.488,-1.055697888
0.496,-1.052808042
0.504,-1.049910241
0.512,-1.04700442
0.52,-1.044090512
0.528,-1.041168449
0.536,-1.038238162
0.544,-1.035299582
0.552,-1.032352636
0.56,-1.029397255
0.568,-1.026433363
0.576,-1.023460889
0.584,-1.020479756
0.592,-1.017489889
0.6,-1.014491211
0.608,-1.011483642
0.616,-1.008467104
0.624,-1.005441516
0.632,-1.002406796
0.64,-0.99936286
0.648,-0.996309625
0.656,-0.993247004
0.664,-0.99017491
0.672,-0.987093255
0.68,-0.984001949
0.688,-0.980900901
0.696,-0.977790018
0.704,-0.974669206
0.712,-0.971538369
0.72,-0.968397411
0.728,-0.965246231
0.736,-0.962084731
0.744,-0.958912807
0.752,-0.955730356
0.76,-0.952537272
0.768,-0.949333448
0.776,-0.946118776
0.784,-0.942893143
0.792,-0.939656438
0.8,-0.936408545
0.808,-0.933149348
0.816,-0.929878727
0.824,-0.926596562
0.832,-0.92330273
0.84,-0.919997105
0.848,-0.91667956
0.856,-0.913349964
0.864,-0.910008186
0.872,-0.906654091
0.88,-0.903287541
0.888,-0.899908398
0.896,-0.896516518
0.904,-0.893111756
0.912,-0.889693964
0.92,-0.886262992
0.928,-0.882818687
0.936,-0.87936089
0.944,-0.875889444
0.952,-0.872404183
0.96,-0.868904944
0.968,-0.865391555
0.976,-0.861863844
0.984,-0.858321634
0.992,-0.854764745
1,-0.851192992
1.008,-0.847606189
1.016,-0.844004143
1.024,-0.840386659
1.032,-0.836753535
1.04,-0.833104567
1.048,-0.829439547
1.056,-0.82575826
1.064,-0.822060488
1.072,-0.818346007
1.08,-0.814614589
1.088,-0.810866001
1.096,-0.807100002
1.104,-0.803316348
1.112,-0.799514788
1.12,-0.795695066
1.128,-0.791856919
1.136,-0.788000078
1.144,-0.784124266
1.152,-0.780229201
1.16,-0.776314593
1.168,-0.772380146
1.176,-0.768425554
1.184,-0.764450504
1.192,-0.760454677
1.2,-0.756437742
1.208,-0.752399361
1.216,-0.748339188
1.224,-0.744256866
1.232,-0.740152028
1.24,-0.736024298
1.248,-0.731873287
1.256,-0.727698599
1.264,-0.723499822
1.272,-0.719276535
1.28,-0.715028304
1.288,-0.710754682
1.296,-0.706455207
1.304,-0.702129405
1.312,-0.697776786
1.32,-0.693396845
1.328,-0.688989062
1.336,-0.684552897
1.344,-0.680087796
1.352,-0.675593186
1.36,-0.671068472
1.368,-0.666513043
1.376,-0.661926264
1.384,-0.657307478
1.392,-0.652656006
1.4,-0.647971144
1.408,-0.643252164
1.416,-0.638498307
1.424,-0.633708789
1.432,-0.628882796
1.44,-0.624019482
1.448,-0.619117966
1.456,-0.614177334
1.464,-0.609196634
1.472,-0.604174876
1.48,-0.599111027
1.488,-0.594004011
1.496,-0.588852704
1.504,-0.583655933
1.512,-0.578412474
1.52,-0.573121045
1.528,-0.567780304
1.536,-0.562388847
1.544,-0.556945202
1.552,-0.551447821
1.56,-0.545895083
1.568,-0.54028528
1.576,-0.534616615
1.584,-0.528887197
1.592,-0.523095029
1.6,-0.517238002
1.608,-0.511313889
1.616,-0.505320329
1.624,-0.499254821
1.632,-0.493114711
1.64,-0.486897176
1.648,-0.480599211
1.656,-0.474217612
1.664,-0.467748956
1.672,-0.461189579
1.68,-0.454535554
1.688,-0.447782661
1.696,-0.440926358
1.704,-0.433961744
1.712,-0.426883517
1.72,-0.419685929
1.728,-0.412362729
1.736,-0.404907104
1.744,-0.397311596
1.752,-0.389568025
1.76,-0.381667379
1.768,-0.373599692
1.776,-0.3653539
1.784,-0.356917657
1.792,-0.348277125
1.8,-0.339416702
1.808,-0.330318694
1.816,-0.320962897
1.824,-0.311326072
1.832,-0.301381262
1.84,-0.291096903
1.848,-0.280435641
1.856,-0.269352725
1.864,-0.257793779
1.872,-0.245691624
1.88,-0.23296162
1.888,-0.219494551
1.896,-0.205145314
1.904,-0.189713842
1.912,-0.172910623
1.92,-0.154288125
1.928,-0.133084813
1.936,-0.107788261
1.944,-0.074330688
1.952,0.023837092
1.96,0.081617799
1.968,0.112936811
1.976,0.137287951
1.984,0.157927957
1.992,0.176166108
2,0.19268564
2.008,0.207896642
2.016,0.22206817
2.024,0.235388042
2.032,0.247993525
2.04,0.259988551
2.048,0.271454056
2.056,0.282454532
2.064,0.293042353
2.072,0.303260744
2.08,0.313145872
2.088,0.322728361
2.096,0.332034416
2.104,0.341086663
2.112,0.349904801
2.12,0.358506106
2.128,0.366905827
2.136,0.375117507
2.144,0.383153236
2.152,0.391023861
2.16,0.398739161
2.168,0.406307982
2.176,0.413738365
2.184,0.421037638
2.192,0.428212507
2.2,0.435269122
2.208,0.442213147
2.216,0.449049803
2.224,0.455783922
2.232,0.462419984
2.24,0.468962152
2.248,0.475414301
2.256,0.481780049
2.264,0.488062777
2.272,0.494265649
2.28,0.500391637
2.288,0.506443529
2.296,0.512423952
2.304,0.518335379
2.312,0.524180143
2.32,0.529960452
2.328,0.535678391
2.336,0.541335937
2.344,0.546934964
2.352,0.552477252
2.36,0.55796449
2.368,0.563398287
2.376,0.568780175
2.384,0.574111615
2.392,0.579393997
2.4,0.584628653
2.408,0.589816853
2.416,0.594959813
2.424,0.600058694
2.432,0.605114613
2.44,0.610128636
2.448,0.615101789
2.456,0.620035055
2.464,0.624929378
2.472,0.629785666
2.48,0.634604793
2.488,0.639387599
2.496,0.644134893
2.504,0.648847454
2.512,0.653526033
2.52,0.658171356
2.528,0.662784122
2.536,0.667365005
2.544,0.671914659
2.552,0.676433712
2.56,0.680922775
2.568,0.685382436
2.576,0.689813265
2.584,0.694215816
2.592,0.698590622
2.6,0.702938202
2.608,0.707259057
2.616,0.711553675
2.624,0.715822527
2.632,0.720066072
2.64,0.724284755
2.648,0.728479007
2.656,0.732649249
2.664,0.736795888
2.672,0.74091932
2.68,0.74501993
2.688,0.749098094
2.696,0.753154176
2.704,0.757188531
2.712,0.761201504
2.72,0.765193431
2.728,0.769164641
2.736,0.773115453
2.744,0.777046177
2.752,0.780957118
2.76,0.78484857
2.768,0.788720823
2.776,0.792574157
2.784,0.796408848
2.792,0.800225162
2.8,0.804023363
2.808,0.807803706
2.816,0.811566439
2.824,0.815311807
2.832,0.819040049
2.84,0.822751396
2.848,0.826446077
2.856,0.830124313
2.864,0.833786324
2.872,0.837432321
2.88,0.841062513
2.888,0.844677103
2.896,0.848276291
2.904,0.851860273
2.912,0.855429239
2.92,0.858983376
2.928,0.862522869
2.936,0.866047895
2.944,0.869558632
2.952,0.873055252
2.96,0.876537923
2.968,0.880006812
2.976,0.88346208
2.984,0.886903888
2.992,0.89033239
3,0.89374774
3.008,0.897150088
3.016,0.900539582
3.024,0.903916366
3.032,0.907280582
3.04,0.91063237
3.048,0.913971865
3.056,0.917299204
3.064,0.920614516
3.072,0.923917932
3.08,0.927209579
3.088,0.930489582
3.096,0.933758063
3.104,0.937015143
3.112,0.94026094
3.12,0.943495572
3.128,0.946719152
3.136,0.949931792
3.144,0.953133605
3.152,0.956324697
3.16,0.959505177
3.168,0.962675149
3.176,0.965834717
3.184,0.968983983
3.192,0.972123046
3.2,0.975252006
3.208,0.978370959
3.216,0.981480001
3.224,0.984579225
3.232,0.987668724
3.24,0.990748589
3.248,0.993818909
3.256,0.996879773
3.264,0.999931268
3.272,1.002973478
3.28,1.006006489
3.288,1.009030383
3.296,1.012045242
3.304,1.015051147
3.312,1.018048176
3.32,1.021036408
3.328,1.02401592
3.336,1.026986788
3.344,1.029949087
3.352,1.03290289
3.36,1.03584827
3.368,1.038785298
3.376,1.041714046
3.384,1.044634583
3.392,1.047546978
3.4,1.050451298
3.408,1.05334761
3.416,1.05623598
3.424,1.059116473
3.432,1.061989153
3.44,1.064854083
3.448,1.067711327
3.456,1.070560944
3.464,1.073402997
3.472,1.076237544
3.48,1.079064646
3.488,1.08188436
3.496,1.084696744
3.504,1.087501855
3.512,1.090299749
3.52,1.093090481
3.528,1.095874107
3.536,1.09865068
3.544,1.101420253
3.552,1.10418288
3.56,1.106938612
3.568,1.109687501
3.576,1.112429597
3.584,1.11516495
3.592,1.11789361
3.6,1.120615626
3.608,1.123331046
3.616,1.126039918
3.624,1.12874229
3.632,1.131438206
3.64,1.134127714
3.648,1.13681086
3.656,1.139487687
3.664,1.142158241
3.672,1.144822565
3.68,1.147480703
3.688,1.150132697
3.696,1.152778591
3.704,1.155418425
3.712,1.158052242
3.72,1.160680082
3.728,1.163301987
3.736,1.165917995
3.744,1.168528146
3.752,1.17113248
3.76,1.173731036
3.768,1.176323851
3.776,1.178910964
3.784,6.894744501
3.792,6.902534691
3.8,6.910316099
3.808,6.918088755
3.816,6.925852688
3.824,6.933607927
3.832,6.941354501
3.84,6.94909244
3.848,6.956821772
3.856,6.964542526
3.864,6.97225473
3.872,6.979958413
3.88,6.987653603
3.888,6.995340328
3.896,7.003018616
3.904,7.010688494
3.912,7.018349991
3.92,7.026003133
3.928,7.033647948
3.936,7.041284462
3.944,7.048912704
3.952,7.056532699
3.96,7.064144475
3.968,7.071748058
3.976,7.079343474
3.984,7.08693075
3.992,7.094509911
4,7.102080985
