s,C,C,m,Pa,1/m,1/m,kW,m,m,m^2,kW,m,m,m^2,m^2,
Time,ULT_1,LLT_1,HGT_1,PRS_1,ULOD_1,LLOD_1,HRR_1,FLHGT_1,FBASE_1,FAREA_1,HRR_2,FLHGT_2,FBASE_2,FAREA_2,HVENT_1,
0.000000E+00,0.200000E+02,0.200000E+02,0.459954E+01,0.195259E-14,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.100000E-02,0.100000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.240000E+01,
0.100000E+02,0.218990E+02,0.200104E+02,0.403910E+01,-.121460E-03,0.149729E-02,0.000000E+00,0.166649E+02,0.360123E+00,0.475000E-02,0.100000E+00,0.124402E+01,0.134372E+00,0.000000E+00,0.112500E-01,0.240000E+01,
0.200000E+02,0.235515E+02,0.200455E+02,0.338986E+01,-.669811E-03,0.277180E-02,0.000000E+00,0.333298E+02,0.591473E+00,0.850000E-02,0.100000E+00,0.248806E+01,0.165744E+00,0.000000E+00,0.225000E-01,0.240000E+01,
0.300000E+02,0.255117E+02,0.201118E+02,0.283676E+01,-.184810E-02,0.428122E-02,0.000000E+00,0.499947E+02,0.759705E+00,0.122500E-01,0.100000E+00,0.373209E+01,0.186526E+00,0.000000E+00,0.337500E-01,0.240000E+01,
0.400000E+02,0.278101E+02,0.202174E+02,0.238055E+01,-.401032E-02,0.606100E-02,0.000000E+00,0.666594E+02,0.896741E+00,0.160000E-01,0.100000E+00,0.497612E+01,0.202350E+00,0.000000E+00,0.450000E-01,0.240000E+01,
0.500000E+02,0.304580E+02,0.203710E+02,0.201414E+01,-.109994E-01,0.812262E-02,0.000000E+00,0.833240E+02,0.101444E+01,0.197500E-01,0.100000E+00,0.622013E+01,0.215218E+00,0.000000E+00,0.562500E-01,0.240000E+01,
0.600000E+02,0.334635E+02,0.205789E+02,0.173437E+01,-.253499E-01,0.104573E-01,0.000000E+00,0.999884E+02,0.111872E+01,0.235000E-01,0.100000E+00,0.746411E+01,0.226096E+00,0.000000E+00,0.675000E-01,0.240000E+01,
0.700000E+02,0.366593E+02,0.208318E+02,0.153007E+01,-.487706E-01,0.130879E-01,0.000000E+00,0.108320E+03,0.116696E+01,0.272500E-01,0.100000E+00,0.870806E+01,0.235533E+00,0.000000E+00,0.787500E-01,0.240000E+01,
0.800000E+02,0.399076E+02,0.211381E+02,0.138745E+01,-.892609E-01,0.160262E-01,0.260916E-04,0.116652E+03,0.121301E+01,0.310000E-01,0.100000E+00,0.995195E+01,0.243873E+00,0.000000E+00,0.900000E-01,0.240000E+01,
0.900000E+02,0.432460E+02,0.215111E+02,0.129158E+01,-.141192E+00,0.192518E-01,0.114522E-03,0.124983E+03,0.125713E+01,0.347500E-01,0.100000E+00,0.111958E+02,0.251346E+00,0.000000E+00,0.101250E+00,0.240000E+01,
0.100000E+03,0.467018E+02,0.219446E+02,0.123163E+01,-.195548E+00,0.227775E-01,0.281219E-03,0.133314E+03,0.129952E+01,0.385000E-01,0.100000E+00,0.124395E+02,0.258114E+00,0.000000E+00,0.112500E+00,0.240000E+01,
0.110000E+03,0.502539E+02,0.224259E+02,0.119537E+01,-.248892E+00,0.265869E-01,0.532796E-03,0.141645E+03,0.134035E+01,0.422500E-01,0.100000E+00,0.136832E+02,0.264298E+00,0.000000E+00,0.123750E+00,0.240000E+01,
0.120000E+03,0.538557E+02,0.229396E+02,0.117256E+01,-.300687E+00,0.306267E-01,0.865856E-03,0.149975E+03,0.137976E+01,0.460000E-01,0.100000E+00,0.149268E+02,0.269989E+00,0.000000E+00,0.135000E+00,0.240000E+01,
0.130000E+03,0.574962E+02,0.234709E+02,0.115930E+01,-.349955E+00,0.348720E-01,0.127297E-02,0.158306E+03,0.141787E+01,0.497500E-01,0.100000E+00,0.161703E+02,0.275257E+00,0.000000E+00,0.146250E+00,0.240000E+01,
0.140000E+03,0.611624E+02,0.240060E+02,0.115288E+01,-.396108E+00,0.393056E-01,0.174398E-02,0.166636E+03,0.145480E+01,0.535000E-01,0.100000E+00,0.174137E+02,0.280159E+00,0.000000E+00,0.157500E+00,0.240000E+01,
0.150000E+03,0.648406E+02,0.245022E+02,0.115109E+01,-.438199E+00,0.439072E-01,0.226815E-02,0.174966E+03,0.149063E+01,0.572500E-01,0.100000E+00,0.186571E+02,0.284741E+00,0.000000E+00,0.168750E+00,0.240000E+01,
0.160000E+03,0.685139E+02,0.249895E+02,0.115234E+01,-.477062E+00,0.486484E-01,0.283205E-02,0.183296E+03,0.152546E+01,0.610000E-01,0.100000E+00,0.199005E+02,0.289039E+00,0.000000E+00,0.180000E+00,0.240000E+01,
0.170000E+03,0.721683E+02,0.254649E+02,0.115542E+01,-.513325E+00,0.535083E-01,0.342607E-02,0.191625E+03,0.155935E+01,0.647500E-01,0.100000E+00,0.211439E+02,0.293085E+00,0.000000E+00,0.191250E+00,0.240000E+01,
0.180000E+03,0.757912E+02,0.259242E+02,0.115948E+01,-.547274E+00,0.584635E-01,0.404210E-02,0.199955E+03,0.159236E+01,0.685000E-01,0.100000E+00,0.223872E+02,0.296905E+00,0.000000E+00,0.202500E+00,0.240000E+01,
0.190000E+03,0.790740E+02,0.263514E+02,0.116889E+01,-.589898E+00,0.636013E-01,0.468131E-02,0.191622E+03,0.155933E+01,0.722500E-01,0.100000E+00,0.236305E+02,0.300520E+00,0.000000E+00,0.213750E+00,0.240000E+01,
0.200000E+03,0.817549E+02,0.267100E+02,0.118568E+01,-.617273E+00,0.690275E-01,0.531882E-02,0.183289E+03,0.152543E+01,0.760000E-01,0.100000E+00,0.248738E+02,0.303952E+00,0.000000E+00,0.225000E+00,0.240000E+01,
0.210000E+03,0.838929E+02,0.269879E+02,0.120687E+01,-.631970E+00,0.747446E-01,0.591918E-02,0.174957E+03,0.149060E+01,0.797500E-01,0.100000E+00,0.261172E+02,0.307216E+00,0.000000E+00,0.236250E+00,0.240000E+01,
0.220000E+03,0.855337E+02,0.271768E+02,0.122988E+01,-.637067E+00,0.807368E-01,0.646519E-02,0.166625E+03,0.145475E+01,0.835000E-01,0.100000E+00,0.273608E+02,0.310327E+00,0.000000E+00,0.247500E+00,0.240000E+01,
0.230000E+03,0.867208E+02,0.272802E+02,0.125306E+01,-.634914E+00,0.869924E-01,0.695218E-02,0.158293E+03,0.141781E+01,0.872500E-01,0.100000E+00,0.286045E+02,0.313297E+00,0.000000E+00,0.258750E+00,0.240000E+01,
0.240000E+03,0.874972E+02,0.273111E+02,0.127527E+01,-.627359E+00,0.934980E-01,0.738281E-02,0.149962E+03,0.137969E+01,0.910000E-01,0.100000E+00,0.298482E+02,0.316138E+00,0.000000E+00,0.270000E+00,0.240000E+01,
0.250000E+03,0.879451E+02,0.272882E+02,0.129248E+01,-.616037E+00,0.100134E+00,0.776679E-02,0.145797E+03,0.136016E+01,0.947500E-01,0.100000E+00,0.310921E+02,0.318858E+00,0.000000E+00,0.281250E+00,0.240000E+01,
0.260000E+03,0.881518E+02,0.272349E+02,0.130395E+01,-.607434E+00,0.106820E+00,0.812944E-02,0.141631E+03,0.134028E+01,0.985000E-01,0.100000E+00,0.323361E+02,0.321467E+00,0.000000E+00,0.292500E+00,0.240000E+01,
0.270000E+03,0.881554E+02,0.271659E+02,0.131109E+01,-.600978E+00,0.113551E+00,0.849385E-02,0.137466E+03,0.132005E+01,0.102250E+00,0.100000E+00,0.335801E+02,0.323971E+00,0.000000E+00,0.303750E+00,0.240000E+01,
0.280000E+03,0.879910E+02,0.270906E+02,0.131492E+01,-.596171E+00,0.120322E+00,0.887610E-02,0.133300E+03,0.129945E+01,0.106000E+00,0.100000E+00,0.348242E+02,0.326377E+00,0.000000E+00,0.315000E+00,0.240000E+01,
0.290000E+03,0.876854E+02,0.270151E+02,0.131621E+01,-.592906E+00,0.127130E+00,0.928708E-02,0.129135E+03,0.127846E+01,0.109750E+00,0.100000E+00,0.360682E+02,0.328691E+00,0.000000E+00,0.326250E+00,0.240000E+01,
0.300000E+03,0.872895E+02,0.269419E+02,0.131687E+01,-.589736E+00,0.134023E+00,0.973241E-02,0.124969E+03,0.125706E+01,0.113500E+00,0.100000E+00,0.373123E+02,0.330920E+00,0.000000E+00,0.337500E+00,0.240000E+01,
0.310000E+03,0.868366E+02,0.268700E+02,0.131785E+01,-.585941E+00,0.141043E+00,0.102070E-01,0.120804E+03,0.123523E+01,0.117250E+00,0.100000E+00,0.385565E+02,0.333068E+00,0.000000E+00,0.348750E+00,0.240000E+01,
0.320000E+03,0.863326E+02,0.267960E+02,0.131899E+01,-.581640E+00,0.148188E+00,0.107061E-01,0.116638E+03,0.121294E+01,0.121000E+00,0.100000E+00,0.398006E+02,0.335140E+00,0.000000E+00,0.360000E+00,0.240000E+01,
0.330000E+03,0.857845E+02,0.267210E+02,0.132019E+01,-.576911E+00,0.155456E+00,0.112256E-01,0.112473E+03,0.119017E+01,0.124750E+00,0.100000E+00,0.410448E+02,0.337140E+00,0.000000E+00,0.371250E+00,0.240000E+01,
0.340000E+03,0.851974E+02,0.266476E+02,0.132140E+01,-.571982E+00,0.162847E+00,0.117626E-01,0.108307E+03,0.116688E+01,0.128500E+00,0.100000E+00,0.422890E+02,0.339072E+00,0.000000E+00,0.382500E+00,0.240000E+01,
0.350000E+03,0.845762E+02,0.265753E+02,0.132261E+01,-.566885E+00,0.170361E+00,0.123149E-01,0.104142E+03,0.114306E+01,0.132250E+00,0.100000E+00,0.435332E+02,0.340940E+00,0.000000E+00,0.393750E+00,0.240000E+01,
0.360000E+03,0.839255E+02,0.265035E+02,0.132382E+01,-.561625E+00,0.178000E+00,0.128806E-01,0.999764E+02,0.111865E+01,0.136000E+00,0.100000E+00,0.447774E+02,0.342747E+00,0.000000E+00,0.405000E+00,0.240000E+01,
0.370000E+03,0.832997E+02,0.264322E+02,0.132441E+01,-.554688E+00,0.185723E+00,0.134561E-01,0.983103E+02,0.110872E+01,0.139750E+00,0.100000E+00,0.460217E+02,0.344497E+00,0.000000E+00,0.416250E+00,0.240000E+01,
0.380000E+03,0.827458E+02,0.263475E+02,0.132420E+01,-.548214E+00,0.193493E+00,0.140457E-01,0.966442E+02,0.109868E+01,0.143500E+00,0.100000E+00,0.472660E+02,0.346192E+00,0.000000E+00,0.427500E+00,0.240000E+01,
0.390000E+03,0.822552E+02,0.262723E+02,0.132365E+01,-.542847E+00,0.201322E+00,0.146534E-01,0.949780E+02,0.108854E+01,0.147250E+00,0.100000E+00,0.485103E+02,0.347834E+00,0.000000E+00,0.438750E+00,0.240000E+01,
0.400000E+03,0.818205E+02,0.262062E+02,0.132301E+01,-.538294E+00,0.209214E+00,0.152803E-01,0.933119E+02,0.107830E+01,0.151000E+00,0.100000E+00,0.497546E+02,0.349426E+00,0.000000E+00,0.450000E+00,0.240000E+01,
0.410000E+03,0.814344E+02,0.261483E+02,0.132242E+01,-.534349E+00,0.217173E+00,0.159258E-01,0.916457E+02,0.106794E+01,0.154750E+00,0.100000E+00,0.509990E+02,0.350971E+00,0.000000E+00,0.461250E+00,0.240000E+01,
0.420000E+03,0.810903E+02,0.260977E+02,0.132195E+01,-.530866E+00,0.225199E+00,0.165880E-01,0.899795E+02,0.105747E+01,0.158500E+00,0.100000E+00,0.522433E+02,0.352470E+00,0.000000E+00,0.472500E+00,0.240000E+01,
0.430000E+03,0.807827E+02,0.260533E+02,0.132163E+01,-.527746E+00,0.233293E+00,0.172648E-01,0.883133E+02,0.104688E+01,0.162250E+00,0.100000E+00,0.534876E+02,0.353926E+00,0.000000E+00,0.483750E+00,0.240000E+01,
0.440000E+03,0.805051E+02,0.260142E+02,0.132148E+01,-.524896E+00,0.241454E+00,0.179540E-01,0.866471E+02,0.103617E+01,0.166000E+00,0.100000E+00,0.547319E+02,0.355339E+00,0.000000E+00,0.495000E+00,0.240000E+01,
0.450000E+03,0.802536E+02,0.259795E+02,0.132148E+01,-.522263E+00,0.249681E+00,0.186534E-01,0.849809E+02,0.102534E+01,0.169750E+00,0.100000E+00,0.559763E+02,0.356713E+00,0.000000E+00,0.506250E+00,0.240000E+01,
0.460000E+03,0.800245E+02,0.259487E+02,0.132164E+01,-.519802E+00,0.257973E+00,0.193609E-01,0.833146E+02,0.101438E+01,0.173500E+00,0.100000E+00,0.572206E+02,0.358049E+00,0.000000E+00,0.517500E+00,0.240000E+01,
0.470000E+03,0.798144E+02,0.259210E+02,0.132195E+01,-.517476E+00,0.266327E+00,0.200746E-01,0.816484E+02,0.100329E+01,0.177250E+00,0.100000E+00,0.584650E+02,0.359348E+00,0.000000E+00,0.528750E+00,0.240000E+01,
0.480000E+03,0.796204E+02,0.258960E+02,0.132238E+01,-.515253E+00,0.274744E+00,0.207929E-01,0.799821E+02,0.992055E+00,0.181000E+00,0.100000E+00,0.597093E+02,0.360612E+00,0.000000E+00,0.540000E+00,0.240000E+01,
0.490000E+03,0.794571E+02,0.258735E+02,0.132272E+01,-.512568E+00,0.283198E+00,0.215132E-01,0.791490E+02,0.986388E+00,0.184750E+00,0.100000E+00,0.609537E+02,0.361841E+00,0.000000E+00,0.551250E+00,0.240000E+01,
0.500000E+03,0.793357E+02,0.258541E+02,0.132287E+01,-.510431E+00,0.291670E+00,0.222361E-01,0.783159E+02,0.980684E+00,0.188500E+00,0.100000E+00,0.621980E+02,0.363038E+00,0.000000E+00,0.562500E+00,0.240000E+01,
0.510000E+03,0.792519E+02,0.258380E+02,0.132300E+01,-.508706E+00,0.300163E+00,0.229635E-01,0.774828E+02,0.974944E+00,0.192250E+00,0.100000E+00,0.634424E+02,0.364204E+00,0.000000E+00,0.573750E+00,0.240000E+01,
0.520000E+03,0.792012E+02,0.258265E+02,0.132317E+01,-.507099E+00,0.308680E+00,0.236954E-01,0.766496E+02,0.969167E+00,0.196000E+00,0.100000E+00,0.646868E+02,0.365339E+00,0.000000E+00,0.585000E+00,0.240000E+01,
0.530000E+03,0.791791E+02,0.258401E+02,0.132347E+01,-.506801E+00,0.317220E+00,0.244259E-01,0.758165E+02,0.963351E+00,0.199750E+00,0.100000E+00,0.659311E+02,0.366445E+00,0.000000E+00,0.596250E+00,0.240000E+01,
0.540000E+03,0.791824E+02,0.258522E+02,0.132388E+01,-.506523E+00,0.325783E+00,0.251558E-01,0.749833E+02,0.957497E+00,0.203500E+00,0.100000E+00,0.671754E+02,0.367522E+00,0.000000E+00,0.607500E+00,0.240000E+01,
0.550000E+03,0.792248E+02,0.258635E+02,0.132416E+01,-.505718E+00,0.334339E+00,0.258832E-01,0.749833E+02,0.957497E+00,0.207250E+00,0.100000E+00,0.684198E+02,0.368572E+00,0.000000E+00,0.618750E+00,0.240000E+01,
0.560000E+03,0.793164E+02,0.258754E+02,0.132427E+01,-.505413E+00,0.342865E+00,0.266099E-01,0.749833E+02,0.957497E+00,0.211000E+00,0.100000E+00,0.696641E+02,0.369596E+00,0.000000E+00,0.630000E+00,0.240000E+01,
0.570000E+03,0.794520E+02,0.258886E+02,0.132434E+01,-.505479E+00,0.351366E+00,0.273385E-01,0.749832E+02,0.957497E+00,0.214750E+00,0.100000E+00,0.709084E+02,0.370595E+00,0.000000E+00,0.641250E+00,0.240000E+01,
0.580000E+03,0.796262E+02,0.259037E+02,0.132447E+01,-.505822E+00,0.359847E+00,0.280696E-01,0.749832E+02,0.957497E+00,0.218500E+00,0.100000E+00,0.721528E+02,0.371569E+00,0.000000E+00,0.652500E+00,0.240000E+01,
0.590000E+03,0.798340E+02,0.259205E+02,0.132469E+01,-.506374E+00,0.368308E+00,0.288025E-01,0.749832E+02,0.957497E+00,0.222250E+00,0.100000E+00,0.733972E+02,0.372519E+00,0.000000E+00,0.663750E+00,0.240000E+01,
0.600000E+03,0.800708E+02,0.259391E+02,0.132503E+01,-.507089E+00,0.376749E+00,0.295359E-01,0.749832E+02,0.957497E+00,0.226000E+00,0.100000E+00,0.746415E+02,0.373447E+00,0.000000E+00,0.675000E+00,0.240000E+01,
0.610000E+03,0.803327E+02,0.259594E+02,0.132549E+01,-.507930E+00,0.385170E+00,0.302683E-01,0.749831E+02,0.957496E+00,0.229750E+00,0.100000E+00,0.758859E+02,0.374352E+00,0.000000E+00,0.686250E+00,0.240000E+01,
0.620000E+03,0.806162E+02,0.259813E+02,0.132607E+01,-.508872E+00,0.393568E+00,0.309979E-01,0.749831E+02,0.957496E+00,0.233500E+00,0.100000E+00,0.771303E+02,0.375235E+00,0.000000E+00,0.697500E+00,0.240000E+01,
0.630000E+03,0.809184E+02,0.260045E+02,0.132675E+01,-.509895E+00,0.401943E+00,0.317233E-01,0.749831E+02,0.957496E+00,0.237250E+00,0.100000E+00,0.783746E+02,0.376098E+00,0.000000E+00,0.708750E+00,0.240000E+01,
0.640000E+03,0.812363E+02,0.260289E+02,0.132752E+01,-.510982E+00,0.410294E+00,0.324432E-01,0.749830E+02,0.957496E+00,0.241000E+00,0.100000E+00,0.796190E+02,0.376940E+00,0.000000E+00,0.720000E+00,0.240000E+01,
0.650000E+03,0.815678E+02,0.260543E+02,0.132837E+01,-.512120E+00,0.418619E+00,0.331564E-01,0.749830E+02,0.957495E+00,0.244750E+00,0.100000E+00,0.808634E+02,0.377762E+00,0.000000E+00,0.731250E+00,0.240000E+01,
0.660000E+03,0.819111E+02,0.260807E+02,0.132930E+01,-.513299E+00,0.426916E+00,0.338619E-01,0.749830E+02,0.957495E+00,0.248500E+00,0.100000E+00,0.821078E+02,0.378566E+00,0.000000E+00,0.742500E+00,0.240000E+01,
0.670000E+03,0.822645E+02,0.261079E+02,0.133029E+01,-.514510E+00,0.435186E+00,0.345588E-01,0.749829E+02,0.957495E+00,0.252250E+00,0.100000E+00,0.833522E+02,0.379350E+00,0.000000E+00,0.753750E+00,0.240000E+01,
0.680000E+03,0.826264E+02,0.261357E+02,0.133134E+01,-.515748E+00,0.443426E+00,0.352466E-01,0.749829E+02,0.957494E+00,0.256000E+00,0.100000E+00,0.845966E+02,0.380117E+00,0.000000E+00,0.765000E+00,0.240000E+01,
0.690000E+03,0.829958E+02,0.261641E+02,0.133243E+01,-.517004E+00,0.451636E+00,0.359246E-01,0.749828E+02,0.957494E+00,0.259750E+00,0.100000E+00,0.858410E+02,0.380866E+00,0.000000E+00,0.776250E+00,0.240000E+01,
0.700000E+03,0.833714E+02,0.261930E+02,0.133357E+01,-.518276E+00,0.459815E+00,0.365925E-01,0.749828E+02,0.957494E+00,0.263500E+00,0.100000E+00,0.870855E+02,0.381598E+00,0.000000E+00,0.787500E+00,0.240000E+01,
0.710000E+03,0.837524E+02,0.262224E+02,0.133474E+01,-.519557E+00,0.467963E+00,0.372499E-01,0.749827E+02,0.957494E+00,0.267250E+00,0.100000E+00,0.883299E+02,0.382314E+00,0.000000E+00,0.798750E+00,0.240000E+01,
0.720000E+03,0.841380E+02,0.262521E+02,0.133594E+01,-.520846E+00,0.476079E+00,0.378967E-01,0.749827E+02,0.957493E+00,0.271000E+00,0.100000E+00,0.895743E+02,0.383013E+00,0.000000E+00,0.810000E+00,0.240000E+01,
0.730000E+03,0.845276E+02,0.262821E+02,0.133716E+01,-.522138E+00,0.484162E+00,0.385326E-01,0.749826E+02,0.957493E+00,0.274750E+00,0.100000E+00,0.908188E+02,0.383697E+00,0.000000E+00,0.821250E+00,0.240000E+01,
0.740000E+03,0.849204E+02,0.263124E+02,0.133840E+01,-.523432E+00,0.492214E+00,0.391576E-01,0.749826E+02,0.957493E+00,0.278500E+00,0.100000E+00,0.920632E+02,0.384365E+00,0.000000E+00,0.832500E+00,0.240000E+01,
0.750000E+03,0.853162E+02,0.263429E+02,0.133966E+01,-.524725E+00,0.500233E+00,0.397717E-01,0.749826E+02,0.957492E+00,0.282250E+00,0.100000E+00,0.933077E+02,0.385019E+00,0.000000E+00,0.843750E+00,0.240000E+01,
0.760000E+03,0.857143E+02,0.263735E+02,0.134094E+01,-.526015E+00,0.508219E+00,0.403749E-01,0.749825E+02,0.957492E+00,0.286000E+00,0.100000E+00,0.945522E+02,0.385657E+00,0.000000E+00,0.855000E+00,0.240000E+01,
0.770000E+03,0.861129E+02,0.264043E+02,0.134215E+01,-.527357E+00,0.516164E+00,0.409674E-01,0.749825E+02,0.957492E+00,0.289750E+00,0.100000E+00,0.957967E+02,0.386282E+00,0.000000E+00,0.866250E+00,0.240000E+01,
0.780000E+03,0.865045E+02,0.264357E+02,0.134300E+01,-.528983E+00,0.524016E+00,0.415536E-01,0.749824E+02,0.957491E+00,0.293500E+00,0.100000E+00,0.970412E+02,0.386893E+00,0.000000E+00,0.877500E+00,0.240000E+01,
0.790000E+03,0.868902E+02,0.264681E+02,0.134356E+01,-.530848E+00,0.531778E+00,0.421398E-01,0.749824E+02,0.957491E+00,0.297250E+00,0.100000E+00,0.982856E+02,0.387491E+00,0.000000E+00,0.888750E+00,0.240000E+01,
0.800000E+03,0.872718E+02,0.265017E+02,0.134394E+01,-.532887E+00,0.539459E+00,0.427292E-01,0.749823E+02,0.957491E+00,0.301000E+00,0.100000E+00,0.995301E+02,0.388075E+00,0.000000E+00,0.900000E+00,0.240000E+01,
0.810000E+03,0.876505E+02,0.265367E+02,0.134421E+01,-.535055E+00,0.547066E+00,0.433232E-01,0.749823E+02,0.957490E+00,0.304750E+00,0.100000E+00,0.100775E+03,0.388646E+00,0.000000E+00,0.911250E+00,0.240000E+01,
0.820000E+03,0.880272E+02,0.265728E+02,0.134440E+01,-.537317E+00,0.554607E+00,0.439221E-01,0.749822E+02,0.957490E+00,0.308500E+00,0.100000E+00,0.102019E+03,0.389205E+00,0.000000E+00,0.922500E+00,0.240000E+01,
0.830000E+03,0.884023E+02,0.266101E+02,0.134455E+01,-.539650E+00,0.562084E+00,0.445252E-01,0.749821E+02,0.957489E+00,0.312250E+00,0.100000E+00,0.103264E+03,0.389751E+00,0.000000E+00,0.933750E+00,0.240000E+01,
0.840000E+03,0.887764E+02,0.266484E+02,0.134466E+01,-.542034E+00,0.569503E+00,0.451318E-01,0.749821E+02,0.957489E+00,0.316000E+00,0.100000E+00,0.104508E+03,0.390286E+00,0.000000E+00,0.945000E+00,0.240000E+01,
0.850000E+03,0.891497E+02,0.266876E+02,0.134477E+01,-.544456E+00,0.576864E+00,0.457409E-01,0.749820E+02,0.957489E+00,0.319750E+00,0.100000E+00,0.105753E+03,0.390809E+00,0.000000E+00,0.956250E+00,0.240000E+01,
0.860000E+03,0.895224E+02,0.267275E+02,0.134487E+01,-.546904E+00,0.584172E+00,0.463514E-01,0.749820E+02,0.957488E+00,0.323500E+00,0.100000E+00,0.106997E+03,0.391320E+00,0.000000E+00,0.967500E+00,0.240000E+01,
0.870000E+03,0.898947E+02,0.267681E+02,0.134497E+01,-.549372E+00,0.591428E+00,0.469623E-01,0.749819E+02,0.957488E+00,0.327250E+00,0.100000E+00,0.108242E+03,0.391820E+00,0.000000E+00,0.978750E+00,0.240000E+01,
0.880000E+03,0.902668E+02,0.268093E+02,0.134507E+01,-.551851E+00,0.598634E+00,0.475726E-01,0.749818E+02,0.957487E+00,0.331000E+00,0.100000E+00,0.109486E+03,0.392310E+00,0.000000E+00,0.990000E+00,0.240000E+01,
0.890000E+03,0.906384E+02,0.268542E+02,0.134518E+01,-.554372E+00,0.605791E+00,0.481804E-01,0.749818E+02,0.957487E+00,0.334750E+00,0.100000E+00,0.110731E+03,0.392788E+00,0.000000E+00,0.100125E+01,0.240000E+01,
