s,C,C,m,Pa,1/m,1/m,kW,m,m,m^2,kW,m,m,m^2,m^2,
0.900000E+03,0.910098E+02,0.269039E+02,0.134531E+01,-.557147E+00,0.612901E+00,0.487825E-01,0.749817E+02,0.957486E+00,0.338500E+00,0.100000E+00,0.111975E+03,0.393256E+00,0.000000E+00,0.101250E+01,0.240000E+01,
0.910000E+03,0.913815E+02,0.269526E+02,0.134545E+01,-.559875E+00,0.619964E+00,0.493797E-01,0.749816E+02,0.957486E+00,0.342250E+00,0.100000E+00,0.113220E+03,0.393714E+00,0.000000E+00,0.102375E+01,0.240000E+01,
0.920000E+03,0.917533E+02,0.270005E+02,0.134559E+01,-.562561E+00,0.626981E+00,0.499721E-01,0.749816E+02,0.957485E+00,0.346000E+00,0.100000E+00,0.114464E+03,0.394162E+00,0.000000E+00,0.103500E+01,0.240000E+01,
0.930000E+03,0.921251E+02,0.270477E+02,0.134574E+01,-.565210E+00,0.633954E+00,0.505596E-01,0.749815E+02,0.957485E+00,0.349750E+00,0.100000E+00,0.115709E+03,0.394600E+00,0.000000E+00,0.104625E+01,0.240000E+01,
0.940000E+03,0.924970E+02,0.270945E+02,0.134590E+01,-.567828E+00,0.640884E+00,0.511421E-01,0.749814E+02,0.957484E+00,0.353500E+00,0.100000E+00,0.116953E+03,0.395028E+00,0.000000E+00,0.105750E+01,0.240000E+01,
0.950000E+03,0.928688E+02,0.271408E+02,0.134606E+01,-.570416E+00,0.647772E+00,0.517197E-01,0.749813E+02,0.957484E+00,0.357250E+00,0.100000E+00,0.118198E+03,0.395447E+00,0.000000E+00,0.106875E+01,0.240000E+01,
0.960000E+03,0.932405E+02,0.271867E+02,0.134624E+01,-.572979E+00,0.654618E+00,0.522922E-01,0.749813E+02,0.957483E+00,0.361000E+00,0.100000E+00,0.119442E+03,0.395857E+00,0.000000E+00,0.108000E+01,0.240000E+01,
0.970000E+03,0.936121E+02,0.272324E+02,0.134642E+01,-.575518E+00,0.661425E+00,0.528595E-01,0.749812E+02,0.957483E+00,0.364750E+00,0.100000E+00,0.120687E+03,0.396258E+00,0.000000E+00,0.109125E+01,0.240000E+01,
0.980000E+03,0.939836E+02,0.272778E+02,0.134661E+01,-.578034E+00,0.668193E+00,0.534215E-01,0.749811E+02,0.957482E+00,0.368500E+00,0.100000E+00,0.121932E+03,0.396650E+00,0.000000E+00,0.110250E+01,0.240000E+01,
0.990000E+03,0.943550E+02,0.273230E+02,0.134681E+01,-.580531E+00,0.674923E+00,0.539781E-01,0.749811E+02,0.957482E+00,0.372250E+00,0.100000E+00,0.123176E+03,0.397034E+00,0.000000E+00,0.111375E+01,0.240000E+01,
0.100000E+04,0.947262E+02,0.273680E+02,0.134702E+01,-.583007E+00,0.681616E+00,0.545293E-01,0.749810E+02,0.957481E+00,0.376000E+00,0.100000E+00,0.124421E+03,0.397409E+00,0.000000E+00,0.112500E+01,0.240000E+01,
0.101000E+04,0.950973E+02,0.274129E+02,0.134723E+01,-.585466E+00,0.688272E+00,0.550749E-01,0.749809E+02,0.957481E+00,0.379750E+00,0.100000E+00,0.125665E+03,0.397776E+00,0.000000E+00,0.113625E+01,0.240000E+01,
0.102000E+04,0.954682E+02,0.274576E+02,0.134745E+01,-.587906E+00,0.694893E+00,0.556150E-01,0.749809E+02,0.957480E+00,0.383500E+00,0.100000E+00,0.126910E+03,0.398135E+00,0.000000E+00,0.114750E+01,0.240000E+01,
0.103000E+04,0.958390E+02,0.275022E+02,0.134768E+01,-.590330E+00,0.701479E+00,0.561495E-01,0.749808E+02,0.957480E+00,0.387250E+00,0.100000E+00,0.128155E+03,0.398485E+00,0.000000E+00,0.115875E+01,0.240000E+01,
0.104000E+04,0.962096E+02,0.275467E+02,0.134791E+01,-.592736E+00,0.708031E+00,0.566783E-01,0.749807E+02,0.957479E+00,0.391000E+00,0.100000E+00,0.129399E+03,0.398828E+00,0.000000E+00,0.117000E+01,0.240000E+01,
0.105000E+04,0.965801E+02,0.275911E+02,0.134816E+01,-.595127E+00,0.714551E+00,0.572014E-01,0.749807E+02,0.957479E+00,0.394750E+00,0.100000E+00,0.130644E+03,0.399163E+00,0.000000E+00,0.118125E+01,0.240000E+01,
0.106000E+04,0.969505E+02,0.276353E+02,0.134841E+01,-.597501E+00,0.721037E+00,0.577188E-01,0.749806E+02,0.957478E+00,0.398500E+00,0.100000E+00,0.131888E+03,0.399491E+00,0.000000E+00,0.119250E+01,0.240000E+01,
0.107000E+04,0.973207E+02,0.276795E+02,0.134866E+01,-.599859E+00,0.727492E+00,0.582305E-01,0.749805E+02,0.957478E+00,0.402250E+00,0.100000E+00,0.133133E+03,0.399811E+00,0.000000E+00,0.120375E+01,0.240000E+01,
0.108000E+04,0.976907E+02,0.277236E+02,0.134893E+01,-.602202E+00,0.733915E+00,0.587364E-01,0.749805E+02,0.957477E+00,0.406000E+00,0.100000E+00,0.134378E+03,0.400124E+00,0.000000E+00,0.121500E+01,0.240000E+01,
0.109000E+04,0.980607E+02,0.277675E+02,0.134920E+01,-.604528E+00,0.740309E+00,0.592367E-01,0.749804E+02,0.957477E+00,0.409750E+00,0.100000E+00,0.135622E+03,0.400430E+00,0.000000E+00,0.122625E+01,0.240000E+01,
0.110000E+04,0.984305E+02,0.278114E+02,0.134947E+01,-.606840E+00,0.746672E+00,0.597312E-01,0.749803E+02,0.957477E+00,0.413500E+00,0.100000E+00,0.136867E+03,0.400729E+00,0.000000E+00,0.123750E+01,0.240000E+01,
0.111000E+04,0.988001E+02,0.278552E+02,0.134976E+01,-.609136E+00,0.753006E+00,0.602199E-01,0.749803E+02,0.957476E+00,0.417250E+00,0.100000E+00,0.138112E+03,0.401021E+00,0.000000E+00,0.124875E+01,0.240000E+01,
0.112000E+04,0.991697E+02,0.278989E+02,0.135005E+01,-.611416E+00,0.759311E+00,0.607030E-01,0.749802E+02,0.957476E+00,0.421000E+00,0.100000E+00,0.139357E+03,0.401306E+00,0.000000E+00,0.126000E+01,0.240000E+01,
0.113000E+04,0.995391E+02,0.279425E+02,0.135034E+01,-.613681E+00,0.765588E+00,0.611804E-01,0.749801E+02,0.957475E+00,0.424750E+00,0.100000E+00,0.140601E+03,0.401585E+00,0.000000E+00,0.127125E+01,0.240000E+01,
0.114000E+04,0.999084E+02,0.279859E+02,0.135065E+01,-.615931E+00,0.771838E+00,0.616521E-01,0.749801E+02,0.957475E+00,0.428500E+00,0.100000E+00,0.141846E+03,0.401857E+00,0.000000E+00,0.128250E+01,0.240000E+01,
0.115000E+04,0.100278E+03,0.280293E+02,0.135095E+01,-.618165E+00,0.778061E+00,0.621182E-01,0.749800E+02,0.957474E+00,0.432250E+00,0.100000E+00,0.143091E+03,0.402122E+00,0.000000E+00,0.129375E+01,0.240000E+01,
0.116000E+04,0.100647E+03,0.280729E+02,0.135127E+01,-.620389E+00,0.784257E+00,0.625785E-01,0.749799E+02,0.957474E+00,0.436000E+00,0.100000E+00,0.144335E+03,0.402382E+00,0.000000E+00,0.130500E+01,0.240000E+01,
0.117000E+04,0.101016E+03,0.281166E+02,0.135159E+01,-.622609E+00,0.790428E+00,0.630330E-01,0.749799E+02,0.957473E+00,0.439750E+00,0.100000E+00,0.145580E+03,0.402635E+00,0.000000E+00,0.131625E+01,0.240000E+01,
0.118000E+04,0.101385E+03,0.281604E+02,0.135192E+01,-.624823E+00,0.796573E+00,0.634815E-01,0.749798E+02,0.957473E+00,0.443500E+00,0.100000E+00,0.146825E+03,0.402882E+00,0.000000E+00,0.132750E+01,0.240000E+01,
0.119000E+04,0.101753E+03,0.282044E+02,0.135226E+01,-.627030E+00,0.802693E+00,0.639240E-01,0.749797E+02,0.957472E+00,0.447250E+00,0.100000E+00,0.148070E+03,0.403123E+00,0.000000E+00,0.133875E+01,0.240000E+01,
0.120000E+04,0.102122E+03,0.282484E+02,0.135260E+01,-.629227E+00,0.808788E+00,0.643606E-01,0.749797E+02,0.957472E+00,0.451000E+00,0.100000E+00,0.149314E+03,0.403358E+00,0.000000E+00,0.135000E+01,0.240000E+01,
0.121000E+04,0.102491E+03,0.282924E+02,0.135295E+01,-.631413E+00,0.814859E+00,0.647913E-01,0.749796E+02,0.957471E+00,0.454750E+00,0.100000E+00,0.150559E+03,0.403588E+00,0.000000E+00,0.136125E+01,0.240000E+01,
0.122000E+04,0.102860E+03,0.283365E+02,0.135330E+01,-.633589E+00,0.820906E+00,0.652160E-01,0.749795E+02,0.957471E+00,0.458500E+00,0.100000E+00,0.151804E+03,0.403812E+00,0.000000E+00,0.137250E+01,0.240000E+01,
0.123000E+04,0.103228E+03,0.283805E+02,0.135366E+01,-.635753E+00,0.826930E+00,0.656348E-01,0.749795E+02,0.957470E+00,0.462250E+00,0.100000E+00,0.153049E+03,0.404030E+00,0.000000E+00,0.138375E+01,0.240000E+01,
0.124000E+04,0.103597E+03,0.284244E+02,0.135402E+01,-.637905E+00,0.832931E+00,0.660477E-01,0.749794E+02,0.957470E+00,0.466000E+00,0.100000E+00,0.154294E+03,0.404243E+00,0.000000E+00,0.139500E+01,0.240000E+01,
0.125000E+04,0.103965E+03,0.284684E+02,0.135440E+01,-.640044E+00,0.838909E+00,0.664549E-01,0.749793E+02,0.957469E+00,0.469750E+00,0.100000E+00,0.155538E+03,0.404450E+00,0.000000E+00,0.140625E+01,0.240000E+01,
0.126000E+04,0.104334E+03,0.285122E+02,0.135477E+01,-.642170E+00,0.844866E+00,0.668563E-01,0.749793E+02,0.957469E+00,0.473500E+00,0.100000E+00,0.156783E+03,0.404652E+00,0.000000E+00,0.141750E+01,0.240000E+01,
0.127000E+04,0.104702E+03,0.285560E+02,0.135516E+01,-.644283E+00,0.850801E+00,0.672519E-01,0.749792E+02,0.957469E+00,0.477250E+00,0.100000E+00,0.158028E+03,0.404849E+00,0.000000E+00,0.142875E+01,0.240000E+01,
0.128000E+04,0.105061E+03,0.286002E+02,0.135560E+01,-.646710E+00,0.856735E+00,0.676445E-01,0.749791E+02,0.957468E+00,0.481000E+00,0.100000E+00,0.159273E+03,0.405040E+00,0.000000E+00,0.144000E+01,0.240000E+01,
0.129000E+04,0.105413E+03,0.286442E+02,0.135604E+01,-.648629E+00,0.862660E+00,0.680294E-01,0.749791E+02,0.957468E+00,0.484750E+00,0.100000E+00,0.160518E+03,0.405227E+00,0.000000E+00,0.145125E+01,0.240000E+01,
0.130000E+04,0.105768E+03,0.286879E+02,0.135645E+01,-.650601E+00,0.868556E+00,0.684058E-01,0.749790E+02,0.957467E+00,0.488500E+00,0.100000E+00,0.161762E+03,0.405408E+00,0.000000E+00,0.146250E+01,0.240000E+01,
0.131000E+04,0.106125E+03,0.287313E+02,0.135684E+01,-.652597E+00,0.874426E+00,0.687761E-01,0.749789E+02,0.957467E+00,0.492250E+00,0.100000E+00,0.163007E+03,0.405585E+00,0.000000E+00,0.147375E+01,0.240000E+01,
0.132000E+04,0.106485E+03,0.287746E+02,0.135722E+01,-.654603E+00,0.880274E+00,0.691411E-01,0.749789E+02,0.957466E+00,0.496000E+00,0.100000E+00,0.164252E+03,0.405757E+00,0.000000E+00,0.148500E+01,0.240000E+01,
0.133000E+04,0.106846E+03,0.288178E+02,0.135761E+01,-.656609E+00,0.886100E+00,0.695015E-01,0.749788E+02,0.957466E+00,0.499750E+00,0.100000E+00,0.165497E+03,0.405924E+00,0.000000E+00,0.149625E+01,0.240000E+01,
0.134000E+04,0.107209E+03,0.288609E+02,0.135800E+01,-.658611E+00,0.891907E+00,0.698573E-01,0.749787E+02,0.957465E+00,0.503500E+00,0.100000E+00,0.166742E+03,0.406086E+00,0.000000E+00,0.150750E+01,0.240000E+01,
0.135000E+04,0.107573E+03,0.289039E+02,0.135840E+01,-.660605E+00,0.897694E+00,0.702085E-01,0.749787E+02,0.957465E+00,0.507250E+00,0.100000E+00,0.167987E+03,0.406243E+00,0.000000E+00,0.151875E+01,0.240000E+01,
0.136000E+04,0.107938E+03,0.289468E+02,0.135882E+01,-.662590E+00,0.903462E+00,0.705549E-01,0.749786E+02,0.957464E+00,0.511000E+00,0.100000E+00,0.169232E+03,0.406397E+00,0.000000E+00,0.153000E+01,0.240000E+01,
0.137000E+04,0.108304E+03,0.289897E+02,0.135924E+01,-.664563E+00,0.909212E+00,0.708966E-01,0.749785E+02,0.957464E+00,0.514750E+00,0.100000E+00,0.170477E+03,0.406545E+00,0.000000E+00,0.154125E+01,0.240000E+01,
0.138000E+04,0.108670E+03,0.290325E+02,0.135966E+01,-.666524E+00,0.914943E+00,0.712333E-01,0.749785E+02,0.957463E+00,0.518500E+00,0.100000E+00,0.171721E+03,0.406689E+00,0.000000E+00,0.155250E+01,0.240000E+01,
0.139000E+04,0.109037E+03,0.290753E+02,0.136010E+01,-.668473E+00,0.920657E+00,0.715650E-01,0.749784E+02,0.957463E+00,0.522250E+00,0.100000E+00,0.172966E+03,0.406829E+00,0.000000E+00,0.156375E+01,0.240000E+01,
0.140000E+04,0.109405E+03,0.291179E+02,0.136054E+01,-.670408E+00,0.926354E+00,0.718917E-01,0.749783E+02,0.957463E+00,0.526000E+00,0.100000E+00,0.174211E+03,0.406965E+00,0.000000E+00,0.157500E+01,0.240000E+01,
0.141000E+04,0.109772E+03,0.291604E+02,0.136099E+01,-.672330E+00,0.932033E+00,0.722131E-01,0.749783E+02,0.957462E+00,0.529750E+00,0.100000E+00,0.175456E+03,0.407096E+00,0.000000E+00,0.158625E+01,0.240000E+01,
0.142000E+04,0.110140E+03,0.292029E+02,0.136145E+01,-.674238E+00,0.937696E+00,0.725294E-01,0.749782E+02,0.957462E+00,0.533500E+00,0.100000E+00,0.176701E+03,0.407223E+00,0.000000E+00,0.159750E+01,0.240000E+01,
0.143000E+04,0.110508E+03,0.292452E+02,0.136191E+01,-.676132E+00,0.943343E+00,0.728405E-01,0.749781E+02,0.957461E+00,0.537250E+00,0.100000E+00,0.177946E+03,0.407346E+00,0.000000E+00,0.160875E+01,0.240000E+01,
0.144000E+04,0.110876E+03,0.292874E+02,0.136238E+01,-.678013E+00,0.948973E+00,0.731463E-01,0.749781E+02,0.957461E+00,0.541000E+00,0.100000E+00,0.179191E+03,0.407465E+00,0.000000E+00,0.162000E+01,0.240000E+01,
0.145000E+04,0.111244E+03,0.293296E+02,0.136286E+01,-.679880E+00,0.954588E+00,0.734470E-01,0.749780E+02,0.957460E+00,0.544750E+00,0.100000E+00,0.180436E+03,0.407581E+00,0.000000E+00,0.163125E+01,0.240000E+01,
0.146000E+04,0.111613E+03,0.293716E+02,0.136334E+01,-.681734E+00,0.960187E+00,0.737424E-01,0.749780E+02,0.957460E+00,0.548500E+00,0.100000E+00,0.181681E+03,0.407692E+00,0.000000E+00,0.164250E+01,0.240000E+01,
0.147000E+04,0.111981E+03,0.294135E+02,0.136382E+01,-.683573E+00,0.965771E+00,0.740327E-01,0.749779E+02,0.957459E+00,0.552250E+00,0.100000E+00,0.182926E+03,0.407799E+00,0.000000E+00,0.165375E+01,0.240000E+01,
0.148000E+04,0.112349E+03,0.294553E+02,0.136431E+01,-.685399E+00,0.971340E+00,0.743177E-01,0.749778E+02,0.957459E+00,0.556000E+00,0.100000E+00,0.184171E+03,0.407902E+00,0.000000E+00,0.166500E+01,0.240000E+01,
0.149000E+04,0.112718E+03,0.294970E+02,0.136481E+01,-.687210E+00,0.976895E+00,0.745976E-01,0.749778E+02,0.957458E+00,0.559750E+00,0.100000E+00,0.185416E+03,0.408002E+00,0.000000E+00,0.167625E+01,0.240000E+01,
0.150000E+04,0.113086E+03,0.295386E+02,0.136531E+01,-.689008E+00,0.982435E+00,0.748724E-01,0.749777E+02,0.957458E+00,0.563500E+00,0.100000E+00,0.186661E+03,0.408098E+00,0.000000E+00,0.168750E+01,0.240000E+01,
0.151000E+04,0.113457E+03,0.295800E+02,0.136589E+01,-.690722E+00,0.987981E+00,0.751415E-01,0.749776E+02,0.957458E+00,0.567250E+00,0.100000E+00,0.187906E+03,0.408190E+00,0.000000E+00,0.169875E+01,0.240000E+01,
0.152000E+04,0.113842E+03,0.296207E+02,0.136687E+01,-.692060E+00,0.993634E+00,0.753950E-01,0.749776E+02,0.957457E+00,0.571000E+00,0.100000E+00,0.189151E+03,0.408279E+00,0.000000E+00,0.171000E+01,0.240000E+01,
0.153000E+04,0.114239E+03,0.296598E+02,0.136820E+01,-.693044E+00,0.999402E+00,0.756190E-01,0.749775E+02,0.957457E+00,0.574750E+00,0.100000E+00,0.190396E+03,0.408364E+00,0.000000E+00,0.172125E+01,0.240000E+01,
0.154000E+04,0.114646E+03,0.296971E+02,0.136979E+01,-.693727E+00,0.100527E+01,0.758049E-01,0.749775E+02,0.957456E+00,0.578500E+00,0.100000E+00,0.191641E+03,0.408445E+00,0.000000E+00,0.173250E+01,0.240000E+01,
0.155000E+04,0.115060E+03,0.297322E+02,0.137157E+01,-.694158E+00,0.101124E+01,0.759488E-01,0.749774E+02,0.957456E+00,0.582250E+00,0.100000E+00,0.192887E+03,0.408524E+00,0.000000E+00,0.174375E+01,0.240000E+01,
0.156000E+04,0.115482E+03,0.297651E+02,0.137350E+01,-.694375E+00,0.101729E+01,0.760495E-01,0.749774E+02,0.957456E+00,0.586000E+00,0.100000E+00,0.194132E+03,0.408599E+00,0.000000E+00,0.175500E+01,0.240000E+01,
0.157000E+04,0.115908E+03,0.297959E+02,0.137555E+01,-.694411E+00,0.102341E+01,0.761077E-01,0.749773E+02,0.957455E+00,0.589750E+00,0.100000E+00,0.195377E+03,0.408670E+00,0.000000E+00,0.176625E+01,0.240000E+01,
0.158000E+04,0.116338E+03,0.298246E+02,0.137769E+01,-.694295E+00,0.102961E+01,0.761254E-01,0.749773E+02,0.957455E+00,0.593500E+00,0.100000E+00,0.196622E+03,0.408739E+00,0.000000E+00,0.177750E+01,0.240000E+01,
0.159000E+04,0.116772E+03,0.298514E+02,0.137988E+01,-.694051E+00,0.103587E+01,0.761051E-01,0.749772E+02,0.957455E+00,0.597250E+00,0.100000E+00,0.197867E+03,0.408804E+00,0.000000E+00,0.178875E+01,0.240000E+01,
0.160000E+04,0.117208E+03,0.298765E+02,0.138212E+01,-.693699E+00,0.104219E+01,0.760497E-01,0.749772E+02,0.957454E+00,0.601000E+00,0.100000E+00,0.199113E+03,0.408866E+00,0.000000E+00,0.180000E+01,0.240000E+01,
0.161000E+04,0.117646E+03,0.299000E+02,0.138440E+01,-.693257E+00,0.104855E+01,0.759623E-01,0.749772E+02,0.957454E+00,0.604750E+00,0.100000E+00,0.200358E+03,0.408925E+00,0.000000E+00,0.181125E+01,0.240000E+01,
0.162000E+04,0.118086E+03,0.299221E+02,0.138669E+01,-.692741E+00,0.105497E+01,0.758458E-01,0.749771E+02,0.957454E+00,0.608500E+00,0.100000E+00,0.201603E+03,0.408980E+00,0.000000E+00,0.182250E+01,0.240000E+01,
0.163000E+04,0.118527E+03,0.299430E+02,0.138900E+01,-.692163E+00,0.106143E+01,0.757030E-01,0.749771E+02,0.957454E+00,0.612250E+00,0.100000E+00,0.202849E+03,0.409033E+00,0.000000E+00,0.183375E+01,0.240000E+01,
0.164000E+04,0.118968E+03,0.299627E+02,0.139131E+01,-.691534E+00,0.106793E+01,0.755368E-01,0.749771E+02,0.957453E+00,0.616000E+00,0.100000E+00,0.204094E+03,0.409083E+00,0.000000E+00,0.184500E+01,0.240000E+01,
0.165000E+04,0.119411E+03,0.299815E+02,0.139363E+01,-.690864E+00,0.107446E+01,0.753494E-01,0.749770E+02,0.957453E+00,0.619750E+00,0.100000E+00,0.205340E+03,0.409129E+00,0.000000E+00,0.185625E+01,0.240000E+01,
0.166000E+04,0.119853E+03,0.299995E+02,0.139594E+01,-.690161E+00,0.108102E+01,0.751430E-01,0.749770E+02,0.957453E+00,0.623500E+00,0.100000E+00,0.206585E+03,0.409173E+00,0.000000E+00,0.186750E+01,0.240000E+01,
0.167000E+04,0.120296E+03,0.300167E+02,0.139824E+01,-.689433E+00,0.108762E+01,0.749197E-01,0.749770E+02,0.957453E+00,0.627250E+00,0.100000E+00,0.207830E+03,0.409214E+00,0.000000E+00,0.187875E+01,0.240000E+01,
0.168000E+04,0.120740E+03,0.300333E+02,0.140053E+01,-.688685E+00,0.109424E+01,0.746813E-01,0.749770E+02,0.957453E+00,0.631000E+00,0.100000E+00,0.209076E+03,0.409251E+00,0.000000E+00,0.189000E+01,0.240000E+01,
0.169000E+04,0.121183E+03,0.300493E+02,0.140282E+01,-.687922E+00,0.110089E+01,0.744291E-01,0.749769E+02,0.957453E+00,0.634750E+00,0.100000E+00,0.210321E+03,0.409286E+00,0.000000E+00,0.190125E+01,0.240000E+01,
0.170000E+04,0.121626E+03,0.300648E+02,0.140509E+01,-.687147E+00,0.110756E+01,0.741647E-01,0.749769E+02,0.957452E+00,0.638500E+00,0.100000E+00,0.211567E+03,0.409318E+00,0.000000E+00,0.191250E+01,0.240000E+01,
0.171000E+04,0.122069E+03,0.300800E+02,0.140734E+01,-.686365E+00,0.111425E+01,0.738890E-01,0.749769E+02,0.957452E+00,0.642250E+00,0.100000E+00,0.212813E+03,0.409348E+00,0.000000E+00,0.192375E+01,0.240000E+01,
0.172000E+04,0.122512E+03,0.300947E+02,0.140959E+01,-.685578E+00,0.112096E+01,0.736032E-01,0.749769E+02,0.957452E+00,0.646000E+00,0.100000E+00,0.214058E+03,0.409374E+00,0.000000E+00,0.193500E+01,0.240000E+01,
0.173000E+04,0.122955E+03,0.301092E+02,0.141181E+01,-.684789E+00,0.112769E+01,0.733080E-01,0.749768E+02,0.957452E+00,0.649750E+00,0.100000E+00,0.215304E+03,0.409398E+00,0.000000E+00,0.194625E+01,0.240000E+01,
0.174000E+04,0.123398E+03,0.301234E+02,0.141402E+01,-.683999E+00,0.113443E+01,0.730041E-01,0.749768E+02,0.957452E+00,0.653500E+00,0.100000E+00,0.216549E+03,0.409419E+00,0.000000E+00,0.195750E+01,0.240000E+01,
0.175000E+04,0.123841E+03,0.301374E+02,0.141622E+01,-.683211E+00,0.114119E+01,0.726923E-01,0.749768E+02,0.957452E+00,0.657250E+00,0.100000E+00,0.217795E+03,0.409437E+00,0.000000E+00,0.196875E+01,0.240000E+01,
0.176000E+04,0.124283E+03,0.301511E+02,0.141840E+01,-.682425E+00,0.114797E+01,0.723728E-01,0.749768E+02,0.957451E+00,0.661000E+00,0.100000E+00,0.219040E+03,0.409453E+00,0.000000E+00,0.198000E+01,0.240000E+01,
0.177000E+04,0.124725E+03,0.301647E+02,0.142056E+01,-.681642E+00,0.115476E+01,0.720463E-01,0.749768E+02,0.957451E+00,0.664750E+00,0.100000E+00,0.220286E+03,0.409466E+00,0.000000E+00,0.199125E+01,0.240000E+01,
0.178000E+04,0.125167E+03,0.301781E+02,0.142271E+01,-.680863E+00,0.116156E+01,0.717130E-01,0.749767E+02,0.957451E+00,0.668500E+00,0.100000E+00,0.221532E+03,0.409476E+00,0.000000E+00,0.200250E+01,0.240000E+01,
0.179000E+04,0.125609E+03,0.301914E+02,0.142484E+01,-.680089E+00,0.116837E+01,0.713732E-01,0.749767E+02,0.957451E+00,0.672250E+00,0.100000E+00,0.222777E+03,0.409484E+00,0.000000E+00,0.201375E+01,0.240000E+01,
0.180000E+04,0.126050E+03,0.302045E+02,0.142696E+01,-.679320E+00,0.117520E+01,0.710271E-01,0.749767E+02,0.957451E+00,0.676000E+00,0.100000E+00,0.224023E+03,0.409490E+00,0.000000E+00,0.202500E+01,0.240000E+01,
