Time,ULT,LLT,HGT,PRS,HRR
0.00,20.00,20.00,5.00,0.00,0.00
10.00,23.39,20.04,3.81,0.00,35129.60
20.00,27.44,20.17,2.82,-0.02,70259.10
30.00,32.85,20.49,2.24,-0.14,105388.00
40.00,39.73,21.28,1.93,-0.42,140515.00
50.00,48.07,22.86,1.78,-0.79,175638.00
60.00,57.84,25.32,1.72,-1.20,210755.00
70.00,68.88,28.53,1.71,-1.64,245865.00
80.00,80.98,32.25,1.73,-2.08,280968.00
90.00,93.85,36.29,1.76,-2.51,316063.00
100.00,107.17,40.51,1.78,-2.94,351151.00
110.00,120.46,44.88,1.80,-3.37,386232.00
120.00,133.47,49.43,1.80,-3.80,421305.00
130.00,146.10,54.20,1.80,-4.23,456370.00
140.00,158.34,59.18,1.79,-4.67,491425.00
150.00,170.25,64.37,1.78,-5.10,526472.00
160.00,181.86,69.77,1.76,-5.53,561508.00
170.00,193.21,75.16,1.74,-5.95,596538.00
180.00,204.34,80.41,1.72,-6.37,631561.00
190.00,215.28,85.67,1.69,-6.78,666576.00
200.00,226.07,90.98,1.66,-7.17,701584.00
210.00,236.39,96.33,1.64,-7.56,736583.00
220.00,246.63,101.74,1.61,-7.93,771574.00
230.00,256.81,107.24,1.59,-8.29,806556.00
240.00,266.91,112.78,1.56,-8.64,841529.00
250.00,276.90,118.34,1.54,-8.99,876494.00
260.00,286.76,123.90,1.52,-9.32,911451.00
270.00,296.46,129.40,1.49,-9.63,946401.00
280.00,306.06,134.15,1.46,-9.93,981358.00
290.00,315.55,138.25,1.43,-10.22,1016320.00
300.00,324.87,142.00,1.39,-10.50,1051290.00
310.00,332.29,144.99,1.37,-10.76,1051220.00
320.00,337.18,147.07,1.37,-10.91,1051180.00
330.00,340.52,148.62,1.37,-10.99,1051150.00
340.00,342.99,149.85,1.37,-11.05,1051120.00
350.00,345.00,150.89,1.37,-11.09,1051100.00
360.00,346.76,151.82,1.37,-11.13,1051080.00
370.00,348.38,152.67,1.37,-11.16,1051060.00
380.00,349.91,153.47,1.37,-11.20,1051040.00
390.00,351.37,154.23,1.37,-11.23,1051030.00
400.00,352.77,154.96,1.37,-11.26,1051010.00
410.00,354.12,155.66,1.37,-11.29,1051000.00
420.00,355.43,156.33,1.37,-11.31,1050980.00
430.00,356.69,156.98,1.37,-11.34,1050970.00
440.00,357.92,157.61,1.37,-11.37,1050950.00
450.00,359.11,158.22,1.37,-11.39,1050940.00
460.00,360.26,158.81,1.37,-11.42,1050930.00
470.00,361.39,159.39,1.37,-11.44,1050920.00
480.00,362.49,159.95,1.37,-11.46,1050900.00
490.00,363.55,160.50,1.37,-11.48,1050890.00
500.00,364.60,161.04,1.37,-11.50,1050880.00
510.00,365.61,161.56,1.37,-11.53,1050870.00
520.00,366.61,162.07,1.37,-11.55,1050860.00
530.00,367.58,162.58,1.37,-11.57,1050850.00
540.00,368.53,163.07,1.37,-11.58,1050840.00
550.00,369.46,163.55,1.37,-11.60,1050830.00
560.00,370.38,164.03,1.37,-11.62,1050820.00
570.00,371.27,164.49,1.37,-11.64,1050810.00
580.00,372.15,164.95,1.37,-11.66,1050800.00
590.00,373.01,165.40,1.37,-11.68,1050790.00
600.00,373.85,165.84,1.37,-11.69,1050780.00
610.00,373.21,165.67,1.38,-11.71,1015760.00
620.00,370.26,164.82,1.41,-11.63,980747.00
630.00,365.93,163.63,1.45,-11.50,945744.00
640.00,360.85,162.22,1.49,-11.34,910742.00
650.00,355.31,160.10,1.52,-11.18,875751.00
660.00,349.46,156.75,1.55,-10.99,840778.00
670.00,343.32,152.97,1.57,-10.79,805808.00
680.00,336.90,148.98,1.60,-10.58,770835.00
690.00,330.22,144.86,1.63,-10.36,735859.00
700.00,323.35,140.65,1.66,-10.12,700878.00
710.00,316.23,136.40,1.69,-9.88,665891.00
720.00,308.93,132.12,1.72,-9.62,630899.00
730.00,301.44,127.82,1.75,-9.35,595901.00
740.00,293.75,123.47,1.79,-9.07,560897.00
750.00,285.89,119.12,1.82,-8.79,525888.00
760.00,277.87,114.68,1.86,-8.48,490873.00
770.00,269.68,110.27,1.90,-8.17,455851.00
780.00,261.36,105.88,1.94,-7.85,420823.00
790.00,251.97,101.62,1.98,-7.54,385788.00
800.00,243.14,97.56,2.02,-7.22,350745.00
810.00,235.54,93.37,2.09,-6.85,315697.00
820.00,228.83,88.97,2.18,-6.43,280645.00
830.00,222.83,84.43,2.28,-5.97,245587.00
840.00,217.33,79.92,2.41,-5.49,210522.00
850.00,212.20,75.62,2.54,-5.02,175451.00
860.00,207.38,71.62,2.68,-4.61,140372.00
870.00,202.80,68.64,2.82,-4.32,105285.00
880.00,198.43,66.62,2.97,-4.12,70193.00
890.00,194.31,65.17,3.11,-3.98,35097.60
900.00,190.34,64.04,3.26,-3.88,0.00
910.00,186.49,63.18,3.38,-3.78,0.00
920.00,182.81,62.48,3.44,-3.71,0.00
930.00,179.35,61.83,3.47,-3.66,0.00
940.00,176.09,61.16,3.49,-3.60,0.00
950.00,173.03,60.48,3.50,-3.55,0.00
960.00,170.16,59.81,3.51,-3.50,0.00
970.00,167.45,59.14,3.52,-3.44,0.00
980.00,164.89,58.49,3.53,-3.39,0.00
990.00,162.46,57.85,3.54,-3.34,0.00
1000.00,160.16,57.22,3.55,-3.29,0.00
1010.00,157.97,56.62,3.55,-3.25,0.00
1020.00,155.87,56.02,3.56,-3.20,0.00
1030.00,153.87,55.45,3.57,-3.15,0.00
1040.00,151.95,54.90,3.58,-3.11,0.00
1050.00,150.11,54.37,3.58,-3.07,0.00
1060.00,148.34,53.86,3.59,-3.03,0.00
1070.00,146.63,53.37,3.59,-2.99,0.00
1080.00,144.99,52.89,3.60,-2.95,0.00
1090.00,143.40,52.43,3.60,-2.91,0.00
1100.00,141.85,51.99,3.61,-2.88,0.00
1110.00,140.36,51.58,3.61,-2.84,0.00
1120.00,138.90,51.19,3.62,-2.81,0.00
1130.00,137.49,50.81,3.62,-2.78,0.00
1140.00,136.11,50.45,3.63,-2.75,0.00
1150.00,134.77,50.11,3.63,-2.72,0.00
1160.00,133.46,49.77,3.64,-2.69,0.00
1170.00,132.18,49.45,3.64,-2.67,0.00
1180.00,130.94,49.14,3.65,-2.64,0.00
1190.00,129.72,48.84,3.65,-2.62,0.00
1200.00,128.52,48.54,3.65,-2.59,0.00
1210.00,127.36,48.25,3.66,-2.57,0.00
1220.00,126.22,47.97,3.66,-2.54,0.00
1230.00,125.10,47.70,3.67,-2.52,0.00
1240.00,124.01,47.43,3.67,-2.50,0.00
1250.00,122.94,47.16,3.67,-2.48,0.00
1260.00,121.88,46.90,3.68,-2.46,0.00
1270.00,120.84,46.65,3.68,-2.43,0.00
1280.00,119.82,46.40,3.68,-2.41,0.00
1290.00,118.82,46.15,3.69,-2.39,0.00
1300.00,117.83,45.91,3.69,-2.37,0.00
1310.00,116.86,45.67,3.69,-2.35,0.00
1320.00,115.90,45.43,3.70,-2.33,0.00
1330.00,114.96,45.20,3.70,-2.31,0.00
1340.00,114.03,44.97,3.70,-2.29,0.00
1350.00,113.11,44.74,3.71,-2.27,0.00
1360.00,112.21,44.52,3.71,-2.26,0.00
1370.00,111.32,44.30,3.71,-2.24,0.00
1380.00,110.44,44.08,3.71,-2.22,0.00
1390.00,109.58,43.87,3.72,-2.20,0.00
1400.00,108.72,43.66,3.72,-2.18,0.00
1410.00,107.88,43.45,3.72,-2.16,0.00
1420.00,107.05,43.24,3.73,-2.15,0.00
1430.00,106.22,43.04,3.73,-2.13,0.00
1440.00,105.41,42.84,3.73,-2.11,0.00
1450.00,104.61,42.64,3.73,-2.10,0.00
1460.00,103.82,42.44,3.74,-2.08,0.00
1470.00,103.04,42.24,3.74,-2.06,0.00
1480.00,102.27,42.05,3.74,-2.04,0.00
1490.00,101.50,41.86,3.74,-2.03,0.00
1500.00,100.75,41.67,3.75,-2.01,0.00
1510.00,100.01,41.49,3.75,-2.00,0.00
1520.00,99.27,41.30,3.75,-1.98,0.00
1530.00,98.54,41.12,3.75,-1.96,0.00
1540.00,97.82,40.94,3.76,-1.95,0.00
1550.00,97.11,40.76,3.76,-1.93,0.00
1560.00,96.41,40.58,3.76,-1.92,0.00
1570.00,95.72,40.41,3.76,-1.90,0.00
1580.00,95.03,40.23,3.77,-1.89,0.00
1590.00,94.35,40.06,3.77,-1.87,0.00
1600.00,93.68,39.89,3.77,-1.86,0.00
1610.00,93.01,39.73,3.77,-1.84,0.00
1620.00,92.36,39.56,3.77,-1.83,0.00
1630.00,91.71,39.40,3.78,-1.81,0.00
1640.00,91.06,39.23,3.78,-1.80,0.00
1650.00,90.43,39.07,3.78,-1.79,0.00
1660.00,89.80,38.91,3.78,-1.77,0.00
1670.00,89.18,38.76,3.79,-1.76,0.00
1680.00,88.56,38.60,3.79,-1.74,0.00
1690.00,87.95,38.45,3.79,-1.73,0.00
1700.00,87.35,38.29,3.79,-1.72,0.00
1710.00,86.75,38.14,3.79,-1.70,0.00
1720.00,86.16,37.99,3.80,-1.69,0.00
1730.00,85.58,37.84,3.80,-1.68,0.00
1740.00,85.00,37.70,3.80,-1.66,0.00
1750.00,84.43,37.55,3.80,-1.65,0.00
1760.00,83.87,37.41,3.80,-1.64,0.00
1770.00,83.31,37.26,3.81,-1.63,0.00
1780.00,82.75,37.12,3.81,-1.61,0.00
1790.00,82.20,36.98,3.81,-1.60,0.00
1800.00,81.66,36.85,3.81,-1.59,0.00
1810.00,81.12,36.71,3.81,-1.58,0.00
1820.00,80.59,36.57,3.81,-1.57,0.00
1830.00,80.06,36.44,3.82,-1.55,0.00
1840.00,79.54,36.31,3.82,-1.54,0.00
1850.00,79.03,36.17,3.82,-1.53,0.00
1860.00,78.52,36.04,3.82,-1.52,0.00
1870.00,78.01,35.91,3.82,-1.51,0.00
1880.00,77.51,35.79,3.82,-1.49,0.00
1890.00,77.02,35.66,3.83,-1.48,0.00
1900.00,76.53,35.53,3.83,-1.47,0.00
1910.00,76.04,35.41,3.83,-1.46,0.00
1920.00,75.56,35.29,3.83,-1.45,0.00
1930.00,75.08,35.17,3.83,-1.44,0.00
1940.00,74.61,35.04,3.83,-1.43,0.00
1950.00,74.14,34.93,3.84,-1.42,0.00
1960.00,73.68,34.81,3.84,-1.41,0.00
1970.00,73.22,34.69,3.84,-1.40,0.00
1980.00,72.77,34.57,3.84,-1.39,0.00
1990.00,72.32,34.46,3.84,-1.38,0.00
2000.00,71.88,34.34,3.84,-1.36,0.00
